Year,Film,Studio,Category,Won,Concordance
2019,Klaus,"Netflix, The Spa Studios, Atresmedia Cine",Best Animated Feature,TRUE,Animated Feature-Length Film
2019,Frozen II,Walt Disney Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2019,How to Train Your Dragon: The Hidden World,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2019,Missing Link,Laika,Best Animated Feature,FALSE,Animated Feature-Length Film
2019,Toy Story 4,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2019,Uncle Thomas: Accounting for the Days,"Ciclope Filmes, National Film Board of Canada, Les Armateurs",Best Animated Short Subject,TRUE,Animated Short Film
2019,Acid Rain,Animoon,Best Animated Short Subject,FALSE,Animated Short Film
2019,DONT KNOW WHAT,Thomas Renoldner,Best Animated Short Subject,FALSE,Animated Short Film
2019,Je sors acheter des cigarettes,Miyu Productions,Best Animated Short Subject,FALSE,Animated Short Film
2019,Purpleboy,"Bando à Parte, Rainbox Productions, Ambiances… asbl, Luna Blue Film",Best Animated Short Subject,FALSE,Animated Short Film
2018,Spider-Man: Into the Spider-Verse,Sony Pictures Animation,Best Animated Feature,TRUE,Animated Feature-Length Film
2018,Early Man,Aardman Animations,Best Animated Feature,FALSE,Animated Feature-Length Film
2018,Incredibles 2,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2018,Isle of Dogs,"Fox Searchlight Pictures, Indian Paintbrush, American Empirical Pictures",Best Animated Feature,FALSE,Animated Feature-Length Film
2018,Ralph Breaks the Internet,Walt Disney Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2018,Weekends,Past Lives Productions,Best Animated Short Subject,TRUE,Animated Short Film
2018,Grandpa Walrus,Caïmans Productions,Best Animated Short Subject,FALSE,Animated Short Film
2018,Lost & Found,Wabi Sabi Studios,Best Animated Short Subject,FALSE,Animated Short Film
2018,SOLAR WALK,Nørlum,Best Animated Short Subject,FALSE,Animated Short Film
2018,Untravel,Film House Baš Čelik,Best Animated Short Subject,FALSE,Animated Short Film
2017,Coco,Pixar Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2017,The Boss Baby,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
