Year,Category,Film,Scene,Nominee,Won,Concordance
2024,Outstanding Effects Simulations in an Animated Feature,Ultraman: Rising,,Nicholas Yoon Joo Kuang,FALSE,
2024,Outstanding Effects Simulations in an Animated Feature,Ultraman: Rising,,Praveen Boppana,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Alien: Romulus,Renaissance Space Station,Waldemar Bartkowiak,TRUE,
2024,Outstanding Model in a Photoreal or Animated Project,Alien: Romulus,Renaissance Space Station,Trevor Wide,TRUE,
2024,Outstanding Model in a Photoreal or Animated Project,Alien: Romulus,Renaissance Space Station,Matt Middleton,TRUE,
2024,Outstanding Model in a Photoreal or Animated Project,Alien: Romulus,Renaissance Space Station,Ben Shearman,TRUE,
2024,Outstanding Model in a Photoreal or Animated Project,Deadpool & Wolverine,Ant-Man Arena,Carlos Flores Gomez,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Deadpool & Wolverine,Ant-Man Arena,Corinne Dy,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Deadpool & Wolverine,Ant-Man Arena,Chris Byrnes,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Deadpool & Wolverine,Ant-Man Arena,Gerald Blaise,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Dune: Part Two,Harkonnen Harvester,Andrew Hodgson,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Dune: Part Two,Harkonnen Harvester,Timothy Russell,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Dune: Part Two,Harkonnen Harvester,Erik Lehmann,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Dune: Part Two,Harkonnen Harvester,Louie Cho,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Gladiator II,Colosseum,Oliver Kane,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Gladiator II,Colosseum,Marnie Pitts,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Gladiator II,Colosseum,Charlotte Fargier,FALSE,
2024,Outstanding Model in a Photoreal or Animated Project,Gladiator II,Colosseum,Laurie Priest,FALSE,
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,The Penguin,Safe Guns,Devin Maggio,TRUE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,The Penguin,Safe Guns,Johnny Han,TRUE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,The Penguin,Safe Guns,Cory Candrilli,TRUE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,The Penguin,Safe Guns,Alexandre Prod'homme (HBO),TRUE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,Blitz,,Hayley Williams,FALSE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,Blitz,,David Eves,FALSE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,Blitz,,Alex Freeman,FALSE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,Blitz,,David Watson,FALSE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,Constellation,,Martin Goeres,FALSE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,Constellation,,Johara Raukamp,FALSE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,Constellation,,Lion David Bogus,FALSE,Effects
2024,Outstanding Special (Practical) Effects in a Photoreal or Animated Project,Constellation,,Leon Mark (Apple TV+),FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Civil War,,Chris Zeh,TRUE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Civil War,,David Simpson,TRUE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Civil War,,Michelle Rose,TRUE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Civil War,,Freddy Salazar,TRUE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Young Woman and the Sea,,Carrie Rishel,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Young Woman and the Sea,,Jeremy Robert,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Young Woman and the Sea,,Stéphane Dittoo,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Young Woman and the Sea,,Ivo Jivkov,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Horizon: An American Saga – Chapter 1,,Jason Neese,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Horizon: An American Saga – Chapter 1,,Armen Fetulagian,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Horizon: An American Saga – Chapter 1,,Jamie Neese,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Horizon: An American Saga – Chapter 1,,J.P. Jaramillo,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Nosferatu,,Angela Barson,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Nosferatu,,Lisa Renney,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Nosferatu,,David Scott,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Civil War,,J.D. Schwalm,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Blitz,,Andrew Whitehurst,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Blitz,,Sona Pak,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Blitz,,Theo Demiris,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Blitz,,Vincent Poitras,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Blitz,,Hayley Williams,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Nosferatu,,Pavel Ságner,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Young Woman and the Sea,,Richard Briscoe,FALSE,Effects
2024,Outstanding Supporting Visual Effects in a Photoreal Feature,Nosferatu,,Dave Cook,FALSE,Effects
2024,Outstanding Virtual Cinematography in a CG Project,Dune: Part Two,Arrakis,Greig Fraser,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Dune: Part Two,Arrakis,Xin Steve Guo,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Dune: Part Two,Arrakis,Sandra Murta,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Dune: Part Two,Arrakis,Ben Wiggs,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Better Man,,Blair Burke,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Better Man,,Shweta Bhatnagar,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Better Man,,Tim Walker,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Better Man,,Craig Young,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,House of the Dragon,"The Red Dragon and the Gold"" (""Battle at Rook's Rest"")",Matt Perrin,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,House of the Dragon,"The Red Dragon and the Gold"" (""Battle at Rook's Rest"")",James Thompson,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,House of the Dragon,"The Red Dragon and the Gold"" (""Battle at Rook's Rest"")",Jacob Doehner,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,House of the Dragon,"The Red Dragon and the Gold"" (""Battle at Rook's Rest"")",P.J. Dillon (HBO),FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Kingdom of the Planet of the Apes,Egg Climb,Dennis Yoo,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Kingdom of the Planet of the Apes,Egg Climb,Angelo Perrotta,FALSE,
