Year,Film,Nominee,Source,Category,Won,Concordance
2008,The Curious Case of Benjamin Button,Robin Swicord,The short story by F. Scott Fitzgerald,Adapted Screenplay,FALSE,Screenplay (Adapted)
2008,The Dark Knight,Jonathan Nolan,The characters from the DC Comics created by Bob Kane and Bill Finger,Adapted Screenplay,FALSE,Screenplay (Adapted)
2008,The Dark Knight,Christopher Nolan,The characters from the DC Comics created by Bob Kane and Bill Finger,Adapted Screenplay,FALSE,Screenplay (Adapted)
2008,The Dark Knight,David S. Goyer,The characters from the DC Comics created by Bob Kane and Bill Finger,Adapted Screenplay,FALSE,Screenplay (Adapted)
2008,Doubt,John Patrick Shanley,The play Doubt: A Parable by John Patrick Shanley,Adapted Screenplay,FALSE,Screenplay (Adapted)
2008,Frost/Nixon,Peter Morgan,The play by Peter Morgan,Adapted Screenplay,FALSE,Screenplay (Adapted)
2008,Milk,Dustin Lance Black,,Original Screenplay,TRUE,Screenplay (Original)
2008,Burn After Reading,Joel Coen,,Original Screenplay,FALSE,Screenplay (Original)
2008,Burn After Reading,Ethan Coen,,Original Screenplay,FALSE,Screenplay (Original)
2008,Vicky Cristina Barcelona,Woody Allen,,Original Screenplay,FALSE,Screenplay (Original)
2008,The Visitor,Tom McCarthy,,Original Screenplay,FALSE,Screenplay (Original)
2008,The Wrestler,Robert Siegel,,Original Screenplay,FALSE,Screenplay (Original)
2008,Waltz with Bashir,Ari Folman,,Documentary Screenplay,TRUE,
2008,Boogie Man: The Lee Atwater Story,Stefan Forbes,,Documentary Screenplay,FALSE,
2008,Boogie Man: The Lee Atwater Story,Noland Walker,,Documentary Screenplay,FALSE,
2008,Chicago 10,Brett Morgen,,Documentary Screenplay,FALSE,
2008,Fuel,Johnny O'Hara,,Documentary Screenplay,FALSE,
2008,Gonzo: The Life and Work of Dr. Hunter S. Thompson,Alex Gibney,The words of Hunter S. Thompson,Documentary Screenplay,FALSE,
2007,No Country for Old Men,Joel Coen,The novel by Cormac McCarthy,Adapted Screenplay,TRUE,Screenplay (Adapted)
2007,No Country for Old Men,Ethan Coen,The novel by Cormac McCarthy,Adapted Screenplay,TRUE,Screenplay (Adapted)
2007,The Diving Bell and the Butterfly,Ronald Harwood,The memoir by Jean-Dominique Bauby,Adapted Screenplay,FALSE,Screenplay (Adapted)
2007,Into the Wild,Sean Penn,The book by Jon Krakauer,Adapted Screenplay,FALSE,Screenplay (Adapted)
2007,There Will Be Blood,Paul Thomas Anderson,The novel Oil! by Upton Sinclair,Adapted Screenplay,FALSE,Screenplay (Adapted)
2007,Zodiac,James Vanderbilt,The book by Robert Graysmith,Adapted Screenplay,FALSE,Screenplay (Adapted)
2007,Juno,Diablo Cody,,Original Screenplay,TRUE,Screenplay (Original)
2007,Knocked Up,Judd Apatow,,Original Screenplay,FALSE,Screenplay (Original)
2007,Lars and the Real Girl,Nancy Oliver,,Original Screenplay,FALSE,Screenplay (Original)
2007,Michael Clayton,Tony Gilroy,,Original Screenplay,FALSE,Screenplay (Original)
2007,The Savages,Tamara Jenkins,,Original Screenplay,FALSE,Screenplay (Original)
2007,Taxi to the Dark Side,Alex Gibney,,Documentary Screenplay,TRUE,
2007,Nanking,Bill Guttentag,,Documentary Screenplay,FALSE,
2007,Nanking,Dan Sturman,,Documentary Screenplay,FALSE,
2007,Nanking,Elisabeth Bentley,,Documentary Screenplay,FALSE,
2007,Nanking,Bill Guttentag,,Documentary Screenplay,FALSE,
2007,Nanking,Dan Sturman,,Documentary Screenplay,FALSE,
2007,No End in Sight,Charles Ferguson,,Documentary Screenplay,FALSE,
2007,The Camden 28,Anthony Giacchino,,Documentary Screenplay,FALSE,
2007,The Rape of Europa,Richard Berge,,Documentary Screenplay,FALSE,
2007,The Rape of Europa,Nicole Newnham,,Documentary Screenplay,FALSE,
2007,The Rape of Europa,Bonni Cohen,,Documentary Screenplay,FALSE,
2007,Sicko,Michael Moore,,Documentary Screenplay,FALSE,
2006,The Departed,William Monahan,The film Infernal Affairs written by Alan Makand Felix Chong,Adapted Screenplay,TRUE,Screenplay (Adapted)
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Sacha Baron Cohen,"The character Borat Sagdiyev, from the television series Da Ali G Show by Sacha Baron Cohen",Adapted Screenplay,FALSE,Screenplay (Adapted)
