Year,Category,Concordance,Film,Film_Original,Country,Nominee,Won,Role,Adapted from,Character
2024,Best Actor in a Leading Role,Actor in a Leading Role,Conclave,,,Ralph Fiennes,FALSE,,,Thomas Cardinal Lawrence
2024,Best Actor in a Leading Role,Actor in a Leading Role,Sing Sing,,,Colman Domingo,FALSE,,,"John ""Divine G"" Whitfield"
2024,Best Actor in a Leading Role,Actor in a Leading Role,The Brutalist,,,Adrien Brody,TRUE,,,László Tóth
2024,Best Actor in a Leading Role,Actor in a Leading Role,Heretic,,,Hugh Grant,FALSE,,,Mr. Reed
2024,Best Actor in a Leading Role,Actor in a Leading Role,The Apprentice,,,Sebastian Stan,FALSE,,,Donald Trump
2024,Best Actor in a Leading Role,Actor in a Leading Role,A Complete Unknown,,,Timothée Chalamet,FALSE,,,Bob Dylan
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,The Brutalist,,,Guy Pearce,FALSE,,,Harrison Lee Van Buren
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,The Apprentice,,,Jeremy Strong,FALSE,,,Roy Cohn
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,Anora,,,Yura Borisov,FALSE,,,Igor
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,A Real Pain,,,Kieran Culkin,TRUE,,,Benji Kaplan
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,A Complete Unknown,,,Edward Norton,FALSE,,,Pete Seeger
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,Sing Sing,,,Clarence Maclin,FALSE,,,"Clarence ""Divine Eye"" Maclin"
2024,Best Actress in a Leading Role,Actress in a Leading Role,Wicked,,,Cynthia Erivo,FALSE,,,Elphaba Thropp
2024,Best Actress in a Leading Role,Actress in a Leading Role,Emilia Pérez,,,Karla Sofía Gascón,FALSE,,,"Emilia Pérez / Juan ""Manitas"" del Monte"
2024,Best Actress in a Leading Role,Actress in a Leading Role,The Substance,,,Demi Moore,FALSE,,,Elisabeth Sparkle
2024,Best Actress in a Leading Role,Actress in a Leading Role,Hard Truths,,,Marianne Jean-Baptiste,FALSE,,,Pansy Deacon
2024,Best Actress in a Leading Role,Actress in a Leading Role,Anora,,,Mikey Madison,TRUE,,,"Anora ""Ani"" Mikheeva"
2024,Best Actress in a Leading Role,Actress in a Leading Role,The Outrun,,,Saoirse Ronan,FALSE,,,Rona
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,Emilia Pérez,,,Selena Gomez,FALSE,,,Jessi Del Monte
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,Wicked,,,Ariana Grande,FALSE,,,Galinda Upland
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,The Brutalist,,,Felicity Jones,FALSE,,,Erzsébet Tóth
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,Conclave,,,Isabella Rossellini,FALSE,,,Sister Agnes
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,Emilia Pérez,,,Zoe Saldaña,TRUE,,,Rita Mora Castro
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,The Last Showgirl,,,Jamie Lee Curtis,FALSE,,,Annette
2024,Best Adapted Screenplay,Screenplay (Adapted),Emilia Pérez,,,Jacques Audiard,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Conclave,,,Peter Straughan,TRUE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Nickel Boys,,,Joslyn Barnes,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Nickel Boys,,,RaMell Ross,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Sing Sing,,,Clint Bentley,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),A Complete Unknown,,,Jay Cocks,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Sing Sing,,,Greg Kwedar,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Sing Sing,,,"John ""Divine G"" Whitfield",FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Sing Sing,,,Clarence Maclin,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),A Complete Unknown,,,James Mangold,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Flow,,,Gints Zilbalodis,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Inside Out 2,,,Kelsey Mann,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Inside Out 2,,,Mark Nielsen,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Wallace & Gromit: Vengeance Most Fowl,,,Nick Park,TRUE,,,
2024,Best Animated Film,Animated Feature-Length Film,Flow,,,Matīss Kaža,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,The Wild Robot,,,Chris Sanders,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Wallace & Gromit: Vengeance Most Fowl,,,Merlin Crossingham,TRUE,,,
2024,Best Animated Film,Animated Feature-Length Film,Wallace & Gromit: Vengeance Most Fowl,,,Richard Beek,TRUE,,,
2024,Best Animated Film,Animated Feature-Length Film,The Wild Robot,,,Jeff Hermann,FALSE,,,
2024,Best British Short Animation,,Adiós,,,José Prats,FALSE,,,
2024,Best British Short Animation,,Adiós,,,Natalia Kyriacou,FALSE,,,
2024,Best British Short Animation,,Adiós,,,Bernardo Angeletti,FALSE,,,
2024,Best British Short Animation,,Mog's Christmas,,,Robin Shaw,FALSE,,,
2024,Best British Short Animation,,Wander to Wonder,,,Maarten Swart,FALSE,,,
2024,Best British Short Animation,,Mog's Christmas,,,Joanna Harrison,FALSE,,,
2024,Best British Short Animation,,Mog's Christmas,,,Camilla Deakin,FALSE,,,
2024,Best British Short Animation,,Mog's Christmas,,,Ruth Fielding,FALSE,,,
2024,Best British Short Animation,,Wander to Wonder,,,Simon Cartwright,TRUE,,,
2024,Best British Short Animation,,Wander to Wonder,,,Nina Gantz,TRUE,,,
2024,Best British Short Animation,,Wander to Wonder,,,Stienette Bosklopper,TRUE,,,
2024,Best British Short Film,,"The Flowers Stand Silently, Witnessing",,,Marissa Keating,FALSE,,,
2024,Best British Short Film,,Marion,,,Joe Weiland,FALSE,,,
2024,Best British Short Film,,Marion,,,Finn Constantine,FALSE,,,
2024,Best British Short Film,,Marion,,,Marija Djikic,FALSE,,,
2024,Best British Short Film,,Milk,,,Miranda Stern,FALSE,,,
2024,Best British Short Film,,Milk,,,Ashionye Ogene,FALSE,,,
2024,Best British Short Film,,"Rock, Paper, Scissors",,,Franz Böhm,TRUE,,,
2024,Best British Short Film,,"Rock, Paper, Scissors",,,Ivan,TRUE,,,
2024,Best British Short Film,,"The Flowers Stand Silently, Witnessing",,,Theo Panagopoulos,FALSE,,,
2024,Best British Short Film,,"Rock, Paper, Scissors",,,Hayder Rothschild Hoozeer,TRUE,,,
2024,Best British Short Film,,Stomach Bug,,,Matty Crawford,FALSE,,,
2024,Best British Short Film,,Stomach Bug,,,Karima Sammout-Kanellopoulou,FALSE,,,
2024,Best Casting,,Conclave,,,Martin Ware,FALSE,,,
2024,Best Casting,,Kneecap,,,Carla Stronge,FALSE,,,
2024,Best Casting,,Anora,,,Sean Baker,TRUE,,,
2024,Best Casting,,Anora,,,Samantha Quan,TRUE,,,
2024,Best Casting,,The Apprentice,,,Carmen Cuba,FALSE,,,
2024,Best Casting,,The Apprentice,,,Stephanie Gorin,FALSE,,,
2024,Best Casting,,A Complete Unknown,,,Yesi Ramirez,FALSE,,,
2024,Best Casting,,Conclave,,,Nina Gold,FALSE,,,
2024,Best Children's & Family Film,,Kensuke's Kingdom,,,Kirk Hendry,FALSE,,,
2024,Best Children's & Family Film,,Kensuke's Kingdom,,,Neil Boyle,FALSE,,,
2024,Best Children's & Family Film,,Kensuke's Kingdom,,,Camilla Deakin,FALSE,,,
2024,Best Children's & Family Film,,Wallace & Gromit: Vengeance Most Fowl,,,Nick Park,TRUE,,,
2024,Best Children's & Family Film,,Wallace & Gromit: Vengeance Most Fowl,,,Merlin Crossingham,TRUE,,,
2024,Best Children's & Family Film,,Wallace & Gromit: Vengeance Most Fowl,,,Richard Beek,TRUE,,,
2024,Best Children's & Family Film,,The Wild Robot,,,Chris Sanders,FALSE,,,
2024,Best Children's & Family Film,,The Wild Robot,,,Jeff Hermann,FALSE,,,
2024,Best Children's & Family Film,,Flow,,,Gints Zilbalodis,FALSE,,,
2024,Best Children's & Family Film,,Flow,,,Matīss Kaža,FALSE,,,
2024,Best Cinematography,Cinematography,Conclave,,,Stéphane Fontaine,FALSE,,,
2024,Best Cinematography,Cinematography,Dune: Part Two,,,Greig Fraser,FALSE,,,
2024,Best Cinematography,Cinematography,Emilia Pérez,,,Paul Guilhaume,FALSE,,,
2024,Best Cinematography,Cinematography,The Brutalist,,,Lol Crawley,TRUE,,,
2024,Best Cinematography,Cinematography,Nosferatu,,,Jarin Blaschke,FALSE,,,
2024,Best Costume Design,Costuming,Blitz,,,Jacqueline Durran,FALSE,,,
2024,Best Costume Design,Costuming,A Complete Unknown,,,Arianne Phillips,FALSE,,,
2024,Best Costume Design,Costuming,Conclave,,,Lisy Christl,FALSE,,,
2024,Best Costume Design,Costuming,Nosferatu,,,Linda Muir,FALSE,,,
2024,Best Costume Design,Costuming,Wicked,,,Paul Tazewell,TRUE,,,
2024,Best Director,Directing,Emilia Pérez,,,Jacques Audiard,FALSE,,,
2024,Best Director,Directing,Anora,,,Sean Baker,FALSE,,,
2024,Best Director,Directing,Conclave,,,Edward Berger,FALSE,,,
2024,Best Director,Directing,The Brutalist,,,Brady Corbet,TRUE,,,
2024,Best Director,Directing,The Substance,,,Coralie Fargeat,FALSE,,,
2024,Best Director,Directing,Dune: Part Two,,,Denis Villeneuve,FALSE,,,
2024,Best Documentary,Documentary Film,Daughters,,,Angela Patton,FALSE,,,
2024,Best Documentary,Documentary Film,Daughters,,,Sam Bisbee,FALSE,,,
2024,Best Documentary,Documentary Film,No Other Land,,,Hamdan Ballal,FALSE,,,
2024,Best Documentary,Documentary Film,No Other Land,,,Yuval Abraham,FALSE,,,
2024,Best Documentary,Documentary Film,No Other Land,,,Rachel Szor,FALSE,,,
2024,Best Documentary,Documentary Film,No Other Land,,,Basel Adra,FALSE,,,
2024,Best Documentary,Documentary Film,Super/Man: The Christopher Reeve Story,,,Ian Bonhôte,TRUE,,,
2024,Best Documentary,Documentary Film,Super/Man: The Christopher Reeve Story,,,Peter Ettedgui,TRUE,,,
2024,Best Documentary,Documentary Film,Daughters,,,Natalie Rae,FALSE,,,
2024,Best Documentary,Documentary Film,Will & Harper,,,Christopher Leggett,FALSE,,,
2024,Best Documentary,Documentary Film,Black Box Diaries,,,Shiori Itō,FALSE,,,
2024,Best Documentary,Documentary Film,Black Box Diaries,,,Hanna Aqvilin,FALSE,,,
2024,Best Documentary,Documentary Film,Black Box Diaries,,,Eric Nyari,FALSE,,,
2024,Best Documentary,Documentary Film,Will & Harper,,,Will Ferrell,FALSE,,,
2024,Best Documentary,Documentary Film,Super/Man: The Christopher Reeve Story,,,Otto Burnham,TRUE,,,
2024,Best Documentary,Documentary Film,Super/Man: The Christopher Reeve Story,,,Connor Schell,TRUE,,,
2024,Best Documentary,Documentary Film,Will & Harper,,,Josh Greenbaum,FALSE,,,
2024,Best Documentary,Documentary Film,Will & Harper,,,Jessica Elbaum,FALSE,,,
2024,Best Editing,Film Editing,Dune: Part Two,,,Joe Walker,FALSE,,,
2024,Best Editing,Film Editing,Kneecap,,,Chris Gill,FALSE,,,
2024,Best Editing,Film Editing,Conclave,,,Nick Emerson,TRUE,,,
2024,Best Editing,Film Editing,Emilia Pérez,,,Juliette Welfling,FALSE,,,
2024,Best Editing,Film Editing,Kneecap,,,Julian Ulrichs,FALSE,,,
2024,Best Editing,Film Editing,Anora,,,Sean Baker,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,The Brutalist,,,Trevor Matthews,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Anora,,,Sean Baker,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,The Brutalist,,,Andrew Lauren,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,The Brutalist,,,Nick Gordon,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,The Brutalist,,,Brian Young,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,The Brutalist,,,Andrew Morrison,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Anora,,,Samantha Quan,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Conclave,,,Michael A. Jackman,TRUE,,,
2024,Best Film,Live-Action Feature-Length Film,Emilia Pérez,,,Jacques Audiard,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Emilia Pérez,,,Pascal Caucheteux,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Emilia Pérez,,,Valérie Schermann,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Emilia Pérez,,,Anthony Vaccarello,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,The Brutalist,,,D.J. Gugenheim,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,The Brutalist,,,Brady Corbet,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Anora,,,Alex Coco,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Conclave,,,Juliette Howell,TRUE,,,
2024,Best Film,Live-Action Feature-Length Film,A Complete Unknown,,,Alex Heineman,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,A Complete Unknown,,,Fred Berger,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,A Complete Unknown,,,James Mangold,FALSE,,,
2024,Best Film,Live-Action Feature-Length Film,Conclave,,,Tessa Ross,TRUE,,,
2024,Best Film Not in the English Language,Foreign Film,The Seed of the Sacred Fig,,,Rozita Hendijanian,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,The Seed of the Sacred Fig,,,Amin Sadraei,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,The Seed of the Sacred Fig,,,Jean-Christophe Simon,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,The Seed of the Sacred Fig,,,Mani Tilgner,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,The Seed of the Sacred Fig,,,Mohammad Rasoulof,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,All We Imagine as Light,,,Payal Kapadia,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,All We Imagine as Light,,,Thomas Hakim,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,All We Imagine as Light,,,Julien Graff,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,Emilia Pérez,,,Jacques Audiard,TRUE,,,
2024,Best Film Not in the English Language,Foreign Film,Emilia Pérez,,,Pascal Caucheteux,TRUE,,,
2024,Best Film Not in the English Language,Foreign Film,Emilia Pérez,,,Valerie Schermann,TRUE,,,
2024,Best Film Not in the English Language,Foreign Film,Emilia Pérez,,,Anthony Vaccarello,TRUE,,,
2024,Best Film Not in the English Language,Foreign Film,Kneecap,,,Trevor Birney,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,I'm Still Here,,,Walter Salles,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,I'm Still Here,,,Rodrigo Teixeira,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,I'm Still Here,,,Martine de Clermont-Tonnerre,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,Kneecap,,,Rich Peppiatt,FALSE,,,
2024,Best Film Not in the English Language,Foreign Film,Kneecap,,,Jack Tarling,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Wicked,,,Laura Blount,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Wicked,,,Sarah Nuth,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Emilia Pérez,,,Julia Floch Carbonel,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Emilia Pérez,,,Emmanuel Janvier,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Emilia Pérez,,,Jean-Christophe Spadaccini,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,The Substance,,,Stéphanie Guillon,TRUE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,The Substance,,,Frédérique Arguello,TRUE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,The Substance,,,Marilyne Scarselli,TRUE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Wicked,,,Frances Hannon,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Dune: Part Two,,,Love Larson,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Dune: Part Two,,,Eva von Bahr,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Nosferatu,,,David White,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Nosferatu,,,Traci Loader,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Nosferatu,,,Suzanne Stokes-Munton,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,Emilia Pérez,,,Romain Marietti,FALSE,,,
2024,Best Make Up & Hair,Make-Up & Hairstyling,The Substance,,,Pierre-Olivier Persin,TRUE,,,
2024,Best Original Score,Original Score,The Brutalist,,,Daniel Blumberg,TRUE,,,
2024,Best Original Score,Original Score,Conclave,,,Volker Bertelmann,FALSE,,,
2024,Best Original Score,Original Score,Emilia Pérez,,,Camille,FALSE,,,
2024,Best Original Score,Original Score,Emilia Pérez,,,Clément Ducol,FALSE,,,
2024,Best Original Score,Original Score,Nosferatu,,,Robin Carolan,FALSE,,,
2024,Best Original Score,Original Score,The Wild Robot,,,Kris Bowers,FALSE,,,
2024,Best Original Screenplay,Screenplay (Original),Kneecap,,,Rich Peppiatt,FALSE,,,
2024,Best Original Screenplay,Screenplay (Original),The Substance,,,Coralie Fargeat,FALSE,,,
2024,Best Original Screenplay,Screenplay (Original),Kneecap,,,Naoise Ó Cairealláin,FALSE,,,
2024,Best Original Screenplay,Screenplay (Original),Kneecap,,,Liam Óg Ó Hannaidh,FALSE,,,
2024,Best Original Screenplay,Screenplay (Original),Kneecap,,,JJ Ó Dochartaigh,FALSE,,,
2024,Best Original Screenplay,Screenplay (Original),A Real Pain,,,Jesse Eisenberg,TRUE,,,
2024,Best Original Screenplay,Screenplay (Original),Anora,,,Sean Baker,FALSE,,,
2024,Best Original Screenplay,Screenplay (Original),The Brutalist,,,Brady Corbet,FALSE,,,
2024,Best Original Screenplay,Screenplay (Original),The Brutalist,,,Mona Fastvold,FALSE,,,
2024,Best Production Design,Art Direction,Dune: Part Two,,,Shane Vieau,FALSE,,,
2024,Best Production Design,Art Direction,Conclave,,,Suzie Davies,FALSE,,,
2024,Best Production Design,Art Direction,Conclave,,,Cynthia Sleiter,FALSE,,,
2024,Best Production Design,Art Direction,Dune: Part Two,,,Patrice Vermette,FALSE,,,
2024,Best Production Design,Art Direction,The Brutalist,,,Judy Becker,FALSE,,,
2024,Best Production Design,Art Direction,Nosferatu,,,Craig Lathrop,FALSE,,,
2024,Best Production Design,Art Direction,Wicked,,,Nathan Crowley,TRUE,,,
2024,Best Production Design,Art Direction,Wicked,,,Lee Sandales,TRUE,,,
2024,Best Production Design,Art Direction,The Brutalist,,,Patricia Cuccia,FALSE,,,
2024,Best Sound,Sound Mixing,Blitz,,,John Casali,FALSE,,,
2024,Best Sound,Sound Mixing,Wicked,,,Andy Nelson,FALSE,,,
2024,Best Sound,Sound Mixing,Wicked,,,Nancy Nugent Title,FALSE,,,
2024,Best Sound,Sound Mixing,Gladiator II,,,Stéphane Bucher,FALSE,,,
2024,Best Sound,Sound Mixing,Gladiator II,,,Matthew Collinge,FALSE,,,
2024,Best Sound,Sound Mixing,Gladiator II,,,Paul Massey,FALSE,,,
2024,Best Sound,Sound Mixing,Gladiator II,,,Danny Sheehan,FALSE,,,
2024,Best Sound,Sound Mixing,The Substance,,,Valérie Deloof,FALSE,,,
2024,Best Sound,Sound Mixing,The Substance,,,Victor Fleurant,FALSE,,,
2024,Best Sound,Sound Mixing,The Substance,,,Victor Praud,FALSE,,,
2024,Best Sound,Sound Mixing,Blitz,,,Paul Cotterell,FALSE,,,
2024,Best Sound,Sound Mixing,Blitz,,,James Harrison,FALSE,,,
2024,Best Sound,Sound Mixing,Dune: Part Two,,,Ron Bartlett,TRUE,,,
2024,Best Sound,Sound Mixing,Dune: Part Two,,,Doug Hemphill,TRUE,,,
2024,Best Sound,Sound Mixing,Dune: Part Two,,,Gareth John,TRUE,,,
2024,Best Sound,Sound Mixing,Dune: Part Two,,,Richard King,TRUE,,,
2024,Best Sound,Sound Mixing,The Substance,,,Emmanuelle Villard,FALSE,,,
2024,Best Sound,Sound Mixing,Wicked,,,Robin Baynton,FALSE,,,
2024,Best Sound,Sound Mixing,Wicked,,,Simon Hayes,FALSE,,,
2024,Best Sound,Sound Mixing,The Substance,,,Stéphane Thiébaut,FALSE,,,
2024,Best Sound,Sound Mixing,Wicked,,,John Marquis,FALSE,,,
2024,Best Special Visual Effects,Effects,Better Man,,,Luke Millar,FALSE,,,
2024,Best Special Visual Effects,Effects,Better Man,,,David Clayton,FALSE,,,
2024,Best Special Visual Effects,Effects,Better Man,,,Keith Herft,FALSE,,,
2024,Best Special Visual Effects,Effects,Dune: Part Two,,,Paul Lambert,TRUE,,,
2024,Best Special Visual Effects,Effects,Dune: Part Two,,,Stephen James,TRUE,,,
2024,Best Special Visual Effects,Effects,Dune: Part Two,,,Gerd Nefzer,TRUE,,,
2024,Best Special Visual Effects,Effects,Better Man,,,Peter Stubbs,FALSE,,,
2024,Best Special Visual Effects,Effects,Kingdom of the Planet of the Apes,,,Erik Winquist,FALSE,,,
2024,Best Special Visual Effects,Effects,Kingdom of the Planet of the Apes,,,Rodney Burke,FALSE,,,
2024,Best Special Visual Effects,Effects,Kingdom of the Planet of the Apes,,,Paul Story,FALSE,,,
2024,Best Special Visual Effects,Effects,Kingdom of the Planet of the Apes,,,Stephen Unterfranz,FALSE,,,
2024,Best Special Visual Effects,Effects,Wicked,,,Pablo Helman,FALSE,,,
2024,Best Special Visual Effects,Effects,Wicked,,,Paul Corbould,FALSE,,,
2024,Best Special Visual Effects,Effects,Wicked,,,Jonathan Fawkner,FALSE,,,
2024,Best Special Visual Effects,Effects,Wicked,,,Anthony Smith,FALSE,,,
2024,Best Special Visual Effects,Effects,Dune: Part Two,,,Rhys Salcombe,TRUE,,,
2024,Best Special Visual Effects,Effects,Gladiator II,,,Mark Bakowski,FALSE,,,
2024,Best Special Visual Effects,Effects,Gladiator II,,,Neil Corbould,FALSE,,,
2024,Best Special Visual Effects,Effects,Gladiator II,,,Nikki Penny,FALSE,,,
2024,Best Special Visual Effects,Effects,Gladiator II,,,Pietro Ponti,FALSE,,,
2024,EE Rising Star Award,,,,,Marisa Abela,FALSE,,,
2024,EE Rising Star Award,,,,,Jharrel Jerome,FALSE,,,
2024,EE Rising Star Award,,,,,Nabhaan Rizwan,FALSE,,,
2024,EE Rising Star Award,,,,,David Jonsson,TRUE,,,
2024,EE Rising Star Award,,,,,Mikey Madison,FALSE,,,
2024,Outstanding British Film,,Lee,,,John Collee,FALSE,,,
2024,Outstanding British Film,,Lee,,,Lem Dobbs,FALSE,,,
2024,Outstanding British Film,,Love Lies Bleeding,,,Rose Glass,FALSE,,,
2024,Outstanding British Film,,Love Lies Bleeding,,,Andrea Cornwell,FALSE,,,
2024,Outstanding British Film,,Love Lies Bleeding,,,Oliver Kassman,FALSE,,,
2024,Outstanding British Film,,Love Lies Bleeding,,,Weronika Tofilska,FALSE,,,
2024,Outstanding British Film,,The Outrun,,,Nora Fingscheidt,FALSE,,,
2024,Outstanding British Film,,The Outrun,,,Sarah Brocklehurst,FALSE,,,
2024,Outstanding British Film,,Bird,,,Andrea Arnold,FALSE,,,
2024,Outstanding British Film,,Bird,,,Tessa Ross,FALSE,,,
2024,Outstanding British Film,,Bird,,,Juliette Howell,FALSE,,,
2024,Outstanding British Film,,Bird,,,Lee Groombridge,FALSE,,,
2024,Outstanding British Film,,Blitz,,,Steve McQueen,FALSE,,,
2024,Outstanding British Film,,Blitz,,,Tim Bevan,FALSE,,,
2024,Outstanding British Film,,Blitz,,,Eric Fellner,FALSE,,,
2024,Outstanding British Film,,Blitz,,,Anita Overland,FALSE,,,
2024,Outstanding British Film,,Conclave,,,Edward Berger,TRUE,,,
2024,Outstanding British Film,,Conclave,,,Tessa Ross,TRUE,,,
2024,Outstanding British Film,,Conclave,,,Juliette Howell,TRUE,,,
2024,Outstanding British Film,,Conclave,,,Michael A. Jackman,TRUE,,,
2024,Outstanding British Film,,Conclave,,,Peter Straughan,TRUE,,,
2024,Outstanding British Film,,Gladiator II,,,Ridley Scott,FALSE,,,
2024,Outstanding British Film,,Gladiator II,,,Douglas Wick,FALSE,,,
2024,Outstanding British Film,,Gladiator II,,,Lucy Fisher,FALSE,,,
2024,Outstanding British Film,,Gladiator II,,,Michael Pruss,FALSE,,,
2024,Outstanding British Film,,Gladiator II,,,David Scarpa,FALSE,,,
2024,Outstanding British Film,,Gladiator II,,,Peter Craig,FALSE,,,
2024,Outstanding British Film,,Hard Truths,,,Mike Leigh,FALSE,,,
2024,Outstanding British Film,,Hard Truths,,,Georgina Lowe,FALSE,,,
2024,Outstanding British Film,,Kneecap,,,Rich Peppiatt,FALSE,,,
2024,Outstanding British Film,,Kneecap,,,Trevor Birney,FALSE,,,
2024,Outstanding British Film,,Kneecap,,,Jack Tarling,FALSE,,,
2024,Outstanding British Film,,Lee,,,Liz Hannah,FALSE,,,
2024,Outstanding British Film,,Lee,,,Marion Hume,FALSE,,,
2024,Outstanding British Film,,The Outrun,,,Dominic Norris,FALSE,,,
2024,Outstanding British Film,,The Outrun,,,Jack Lowden,FALSE,,,
2024,Outstanding British Film,,The Outrun,,,Saoirse Ronan,FALSE,,,
2024,Outstanding British Film,,The Outrun,,,Amy Liptrot,FALSE,,,
2024,Outstanding British Film,,Wallace & Gromit: Vengeance Most Fowl,,,Nick Park,FALSE,,,
2024,Outstanding British Film,,Wallace & Gromit: Vengeance Most Fowl,,,Merlin Crossingham,FALSE,,,
2024,Outstanding British Film,,Wallace & Gromit: Vengeance Most Fowl,,,Richard Beek,FALSE,,,
2024,Outstanding British Film,,Wallace & Gromit: Vengeance Most Fowl,,,Mark Burton,FALSE,,,
2024,Outstanding British Film,,Kneecap,,,Naoise Ó Cairealláin,FALSE,,,
2024,Outstanding British Film,,Kneecap,,,Liam Óg Ó Hannaidh,FALSE,,,
2024,Outstanding British Film,,Kneecap,,,JJ Ó Dochartaigh,FALSE,,,
2024,Outstanding British Film,,Lee,,,Ellen Kuras,FALSE,,,
2024,Outstanding British Film,,Lee,,,Kate Solomon,FALSE,,,
2024,Outstanding British Film,,Lee,,,Kate Winslet,FALSE,,,
2024,"Outstanding Debut by a British Writer, Director or Producer",,Hoard,,,Luna Carmoon,FALSE,Director,,
2024,"Outstanding Debut by a British Writer, Director or Producer",,Hoard,,,Luna Carmoon,FALSE,Writer,,
2024,"Outstanding Debut by a British Writer, Director or Producer",,Kneecap,,,Rich Peppiatt,TRUE,Director,,
2024,"Outstanding Debut by a British Writer, Director or Producer",,Kneecap,,,Rich Peppiatt,TRUE,Writer,,
2024,"Outstanding Debut by a British Writer, Director or Producer",,Monkey Man,,,Dev Patel,FALSE,Director,,
2024,"Outstanding Debut by a British Writer, Director or Producer",,Santosh,,,Sandhya Suri,FALSE,Director,,
2024,"Outstanding Debut by a British Writer, Director or Producer",,Santosh,,,Sandhya Suri,FALSE,Writer,,
2024,"Outstanding Debut by a British Writer, Director or Producer",,Santosh,,,James Bowsher,FALSE,Producer,,
