Year,Category,Concordance,Film,Film_Original,Country,Nominee,Won,Role,Adapted from,Character
2012,Best Adapted Screenplay,Screenplay (Adapted),Silver Linings Playbook,,,David O. Russell,TRUE,,The Silver Linings Playbook by Matthew Quick,
2012,Best Adapted Screenplay,Screenplay (Adapted),Argo,,,Chris Terrio,FALSE,,"The Master of Disguise by Tony Mendez
The Great Escape by Joshuah Bearman",
2012,Best Adapted Screenplay,Screenplay (Adapted),Beasts of the Southern Wild,,,Lucy Alibar,FALSE,,Juicy and Delicious by Lucy Alibar,
2012,Best Adapted Screenplay,Screenplay (Adapted),Beasts of the Southern Wild,,,Benh Zeitlin,FALSE,,Juicy and Delicious by Lucy Alibar,
2012,Best Adapted Screenplay,Screenplay (Adapted),Life of Pi,,,David Magee,FALSE,,Life of Pi by Yann Martel,
2012,Best Adapted Screenplay,Screenplay (Adapted),Lincoln,,,Tony Kushner,FALSE,,Team of Rivals: The Political Genius of Abraham Lincoln by Doris Kearns Goodwin,
2012,Best Original Screenplay,Screenplay (Original),Django Unchained,,,Quentin Tarantino,TRUE,,,
2012,Best Original Screenplay,Screenplay (Original),Amour,,,Michael Haneke,FALSE,,,
2012,Best Original Screenplay,Screenplay (Original),The Master,,,Paul Thomas Anderson,FALSE,,,
2012,Best Original Screenplay,Screenplay (Original),Moonrise Kingdom,,,Wes Anderson,FALSE,,,
2012,Best Original Screenplay,Screenplay (Original),Moonrise Kingdom,,,Roman Coppola,FALSE,,,
2012,Best Original Screenplay,Screenplay (Original),Zero Dark Thirty,,,Mark Boal,FALSE,,,
2012,Best Actor in a Leading Role,Actor in a Leading Role,Lincoln,,,Daniel Day-Lewis,TRUE,,,Abraham Lincoln
2012,Best Actor in a Leading Role,Actor in a Leading Role,Argo,,,Ben Affleck,FALSE,,,Tony Mendez
2012,Best Actor in a Leading Role,Actor in a Leading Role,Silver Linings Playbook,,,Bradley Cooper,FALSE,,,"Patrick ""Pat"" Solitano, Jr."
2012,Best Actor in a Leading Role,Actor in a Leading Role,Les Misérables,,,Hugh Jackman,FALSE,,,Jean Valjean
2012,Best Actor in a Leading Role,Actor in a Leading Role,The Master,,,Joaquin Phoenix,FALSE,,,Freddie Quell
2012,Best Actress in a Leading Role,Actress in a Leading Role,Amour,,,Emmanuelle Riva,TRUE,,,Anne Laurent
2012,Best Actress in a Leading Role,Actress in a Leading Role,Zero Dark Thirty,,,Jessica Chastain,FALSE,,,Maya Harris
2012,Best Actress in a Leading Role,Actress in a Leading Role,Rust and Bone,,,Marion Cotillard,FALSE,,,Stéphanie
2012,Best Actress in a Leading Role,Actress in a Leading Role,Silver Linings Playbook,,,Jennifer Lawrence,FALSE,,,Tiffany Maxwell
2012,Best Actress in a Leading Role,Actress in a Leading Role,Hitchcock,,,Helen Mirren,FALSE,,,Alma Reville Hitchcock
2012,Best Actor in a Supporting Role,Actor in a Supporting Role,Django Unchained,,,Christoph Waltz,TRUE,,,Dr. King Schultz
2012,Best Actor in a Supporting Role,Actor in a Supporting Role,Argo,,,Alan Arkin,FALSE,,,Lester Siegel
2012,Best Actor in a Supporting Role,Actor in a Supporting Role,Skyfall,,,Javier Bardem,FALSE,,,Raoul Silva
2012,Best Actor in a Supporting Role,Actor in a Supporting Role,The Master,,,Philip Seymour Hoffman,FALSE,,,Lancaster Dodd
2012,Best Actor in a Supporting Role,Actor in a Supporting Role,Lincoln,,,Tommy Lee Jones,FALSE,,,Thaddeus Stevens
2012,Best Actress in a Supporting Role,Actress in a Supporting Role,Les Misérables,,,Anne Hathaway,TRUE,,,Fantine
2012,Best Actress in a Supporting Role,Actress in a Supporting Role,The Master,,,Amy Adams,FALSE,,,Peggy Dodd
2012,Best Actress in a Supporting Role,Actress in a Supporting Role,Skyfall,,,Judi Dench,FALSE,,,M
2012,Best Actress in a Supporting Role,Actress in a Supporting Role,Lincoln,,,Sally Field,FALSE,,,Mary Todd Lincoln
2012,Best Actress in a Supporting Role,Actress in a Supporting Role,The Sessions,,,Helen Hunt,FALSE,,,Cheryl Cohen-Greene
2012,Best Cinematography,Cinematography,Life of Pi,,,Claudio Miranda,TRUE,,,
2012,Best Cinematography,Cinematography,Les Misérables,,,Danny Cohen,FALSE,,,
2012,Best Cinematography,Cinematography,Skyfall,,,Roger Deakins,FALSE,,,
2012,Best Cinematography,Cinematography,Lincoln,,,Janusz Kamiński,FALSE,,,
2012,Best Cinematography,Cinematography,Anna Karenina,,,Seamus McGarvey,FALSE,,,
2012,Best Editing,Film Editing,Argo,,,William Goldenberg,TRUE,,,
2012,Best Editing,Film Editing,Django Unchained,,,Fred Raskin,FALSE,,,
2012,Best Editing,Film Editing,Life of Pi,,,Tim Squyres,FALSE,,,
2012,Best Editing,Film Editing,Skyfall,,,Stuart Baird,FALSE,,,
2012,Best Editing,Film Editing,Zero Dark Thirty,,,Dylan Tichenor,FALSE,,,
2012,Best Editing,Film Editing,Zero Dark Thirty,,,William Goldenberg,FALSE,,,
2012,Best Costume Design,Costuming,Anna Karenina,,,Jacqueline Durran,TRUE,,,
2012,Best Costume Design,Costuming,Great Expectations,,,Beatrix Aruna Pasztor,FALSE,,,
2012,Best Costume Design,Costuming,Les Misérables,,,Paco Delgado,FALSE,,,
2012,Best Costume Design,Costuming,Lincoln,,,Joanna Johnston,FALSE,,,
2012,Best Costume Design,Costuming,Snow White and the Huntsman,,,Colleen Atwood,FALSE,,,
2012,Best Production Design,Art Direction,Les Misérables,,,Eve Stewart,TRUE,,,
2012,Best Production Design,Art Direction,Les Misérables,,,Anna Lynch-Robinson,TRUE,,,
2012,Best Production Design,Art Direction,Anna Karenina,,,Sarah Greenwood,FALSE,,,
2012,Best Production Design,Art Direction,Anna Karenina,,,Katie Spencer,FALSE,,,
2012,Best Production Design,Art Direction,Life of Pi,,,David Gropman,FALSE,,,
2012,Best Production Design,Art Direction,Life of Pi,,,Anna Pinnock,FALSE,,,
2012,Best Production Design,Art Direction,Lincoln,,,Rick Carter,FALSE,,,
