Nominee,Film,Category,Year,Show,Concordance,Won
Diedrich Bader,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Gary Cole,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Hugh Laurie,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Julia Louis-Dreyfus,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Kevin Dunn,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Matt Walsh,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Phil Reeves,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Reid Scott,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Sam Richardson,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Sarah Sutherland,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Sufe Bradshaw,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Timothy Simons,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
Tony Hale,Veep,Ensemble In A Comedy Series,2015,22nd Annual,,FALSE
,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Allen Leech,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Brendan Coyle,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
David Robb,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Elizabeth Mcgovern,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Hugh Bonneville,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Jim Carter,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Joanne Froggatt,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Julian Ovenden,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Kevin Doyle,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Laura Carmichael,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Lesley Nicol,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Lily James,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Maggie Smith,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Michelle Dockery,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Penelope Wilton,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Phyllis Logan,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Raquel Cassidy,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Robert James-Collier,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Sophie Mcshera,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
Tom Cullen,Downton Abbey,Ensemble In A Drama Series,2015,22nd Annual,,TRUE
,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Aiden Gillen,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Alfie Allen,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Ben Crompton,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Brenock O'connor,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Brian Fortune,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Carice Van Houten,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Daniel Portman,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Emilia Clarke,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Gwendoline Christie,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Hannah Murray,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Iain Glen,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Ian Beattie,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Iwan Rheon,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Jerome Flynn,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Joel Fry,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
John Bradley,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Kit Harington,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Lena Headey,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Liam Cunningham,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Maisie Williams,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Michael Condron,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Michiel Huisman,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Nathalie Emmanuel,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Nikolaj Coster-Waldau,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Owen Teale,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Peter Dinklage,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Sophie Turner,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Stephen Dillane,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Tara Fitzgerald,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Tom Wlaschiha,Game Of Thrones,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Alexander Fehling,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Atheer Adel,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Claire Danes,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
F. Murray Abraham,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Mandy Patinkin,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Mark Ivanir,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Miranda Otto,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Nina Hoss,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Ren,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Rupert Friend,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Sarah Sokolovic,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Sebastian Koch,Homeland,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Derek Cecil,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Elizabeth Marvel,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Jimmi Simpson,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Kevin Spacey,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Mahershala Ali,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Michael Kelly,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Molly Parker,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Nathan Darrow,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Paul Sparks,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Robin Wright,House Of Cards,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Aaron Staton,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Bruce Greenwood,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Christina Hendricks,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Elisabeth Moss,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
January Jones,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Jay R. Ferguson,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
John Slattery,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Jon Hamm,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Kevin Rahm,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Kiernan Shipka,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Mason Vale Cotton,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Rich Sommer,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Sola Bamis,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Stephanie Drake,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Vincent Kartheiser,Mad Men,Ensemble In A Drama Series,2015,22nd Annual,,FALSE
Edie Falco,Nurse Jackie,Female In A Comedy Series,2015,22nd Annual,,FALSE
Uzo Aduba,Orange Is The New Black,Female In A Comedy Series,2015,22nd Annual,,TRUE
Amy Poehler,Parks And Recreation,Female In A Comedy Series,2015,22nd Annual,,FALSE
Ellie Kemper,Unbreakable Kimmy Schmidt,Female In A Comedy Series,2015,22nd Annual,,FALSE
Julia Louis-Dreyfus,Veep,Female In A Comedy Series,2015,22nd Annual,,FALSE
Maggie Smith,Downton Abbey,Female In A Drama Series,2015,22nd Annual,,FALSE
Claire Danes,Homeland,Female In A Drama Series,2015,22nd Annual,,FALSE
Robin Wright,House Of Cards,Female In A Drama Series,2015,22nd Annual,,FALSE
Viola Davis,How To Get Away With Murder,Female In A Drama Series,2015,22nd Annual,,TRUE
Julianna Margulies,The Good Wife,Female In A Drama Series,2015,22nd Annual,,FALSE
Saoirse Ronan,Brooklyn,Female Lead In A Motion Picture,2015,22nd Annual,Actress in a Leading Role,FALSE
Cate Blanchett,Carol,Female Lead In A Motion Picture,2015,22nd Annual,Actress in a Leading Role,FALSE
Sarah Silverman,I Smile Back,Female Lead In A Motion Picture,2015,22nd Annual,Actress in a Leading Role,FALSE
Brie Larson,Room,Female Lead In A Motion Picture,2015,22nd Annual,Actress in a Leading Role,TRUE
Helen Mirren,Woman In Gold,Female Lead In A Motion Picture,2015,22nd Annual,Actress in a Leading Role,FALSE
Rooney Mara,Carol,Female Support In A Motion Picture,2015,22nd Annual,Actress in a Supporting Role,FALSE
Rachel Mcadams,Spotlight,Female Support In A Motion Picture,2015,22nd Annual,Actress in a Supporting Role,FALSE
Kate Winslet,Steve Jobs,Female Support In A Motion Picture,2015,22nd Annual,Actress in a Supporting Role,FALSE
Alicia Vikander,The Danish Girl,Female Support In A Motion Picture,2015,22nd Annual,Actress in a Supporting Role,TRUE
Helen Mirren,Trumbo,Female Support In A Motion Picture,2015,22nd Annual,Actress in a Supporting Role,FALSE
Queen Latifah,Bessie,Female In A Television Movie Or Limited Series,2015,22nd Annual,,TRUE
Nicole Kidman,Grace Of Monaco,Female In A Television Movie Or Limited Series,2015,22nd Annual,,FALSE
Christina Ricci,The Lizzie Borden Chronicles,Female In A Television Movie Or Limited Series,2015,22nd Annual,,FALSE
Susan Sarandon,The Secret Life Of Marilyn Monroe,Female In A Television Movie Or Limited Series,2015,22nd Annual,,FALSE
Kristen Wiig,The Spoils Before Dying,Female In A Television Movie Or Limited Series,2015,22nd Annual,,FALSE
Carol Burnett,N/A,Life Achievement,2015,22nd Annual,,TRUE
Louis C.k.,Louie,Male In A Comedy Series,2015,22nd Annual,,FALSE
Ty Burrell,Modern Family,Male In A Comedy Series,2015,22nd Annual,,FALSE
William H. Macy,Shameless,Male In A Comedy Series,2015,22nd Annual,,FALSE
Jim Parsons,The Big Bang Theory,Male In A Comedy Series,2015,22nd Annual,,FALSE
Jeffrey Tambor,Transparent,Male In A Comedy Series,2015,22nd Annual,,TRUE
Bob Odenkirk,Better Call Saul,Male In A Drama Series,2015,22nd Annual,,FALSE
Peter Dinklage,Game Of Thrones,Male In A Drama Series,2015,22nd Annual,,FALSE
Kevin Spacey,House Of Cards,Male In A Drama Series,2015,22nd Annual,,TRUE
Jon Hamm,Mad Men,Male In A Drama Series,2015,22nd Annual,,FALSE
Rami Malek,Mr. Robot,Male In A Drama Series,2015,22nd Annual,,FALSE
Johnny Depp,Black Mass,Male Lead In A Motion Picture,2015,22nd Annual,Actor in a Leading Role,FALSE
Michael Fassbender,Steve Jobs,Male Lead In A Motion Picture,2015,22nd Annual,Actor in a Leading Role,FALSE
Eddie Redmayne,The Danish Girl,Male Lead In A Motion Picture,2015,22nd Annual,Actor in a Leading Role,FALSE
Leonardo Dicaprio,The Revenant,Male Lead In A Motion Picture,2015,22nd Annual,Actor in a Leading Role,TRUE
Bryan Cranston,Trumbo,Male Lead In A Motion Picture,2015,22nd Annual,Actor in a Leading Role,FALSE
Michael Shannon,99 Homes,Male Support In A Motion Picture,2015,22nd Annual,Actor in a Supporting Role,FALSE
Idris Elba,Beasts Of No Nation,Male Support In A Motion Picture,2015,22nd Annual,Actor in a Supporting Role,TRUE
Mark Rylance,Bridge Of Spies,Male Support In A Motion Picture,2015,22nd Annual,Actor in a Supporting Role,FALSE
Jacob Tremblay,Room,Male Support In A Motion Picture,2015,22nd Annual,Actor in a Supporting Role,FALSE
Christian Bale,The Big Short,Male Support In A Motion Picture,2015,22nd Annual,Actor in a Supporting Role,FALSE
Bill Murray,A Very Murray Christmas,Male In A Television Movie Or Limited Series,2015,22nd Annual,,FALSE
Idris Elba,Luther,Male In A Television Movie Or Limited Series,2015,22nd Annual,,TRUE
Ray Liotta,Texas Rising,Male In A Television Movie Or Limited Series,2015,22nd Annual,,FALSE
Ben Kingsley,Tut,Male In A Television Movie Or Limited Series,2015,22nd Annual,,FALSE
Mark Rylance,Wolf Hall,Male In A Television Movie Or Limited Series,2015,22nd Annual,,FALSE
,Everest,Stunt Ensemble In A Motion Picture,2015,22nd Annual,,FALSE
,Furious 7,Stunt Ensemble In A Motion Picture,2015,22nd Annual,,FALSE
,Jurassic World,Stunt Ensemble In A Motion Picture,2015,22nd Annual,,FALSE
,Mad Max: Fury Road,Stunt Ensemble In A Motion Picture,2015,22nd Annual,,TRUE
,Mission: Impossible,Stunt Ensemble In A Motion Picture,2015,22nd Annual,,FALSE
,Game Of Thrones,Stunt Ensemble In A Television Series,2015,22nd Annual,,TRUE
,Homeland,Stunt Ensemble In A Television Series,2015,22nd Annual,,FALSE
,Marvel's Daredevil,Stunt Ensemble In A Television Series,2015,22nd Annual,,FALSE
,The Blacklist,Stunt Ensemble In A Television Series,2015,22nd Annual,,FALSE
,The Walking Dead,Stunt Ensemble In A Television Series,2015,22nd Annual,,FALSE
,Birdman,Cast In A Motion Picture,2014,21st Annual,,TRUE
Amy Ryan,Birdman,Cast In A Motion Picture,2014,21st Annual,,TRUE
Andrea Riseborough,Birdman,Cast In A Motion Picture,2014,21st Annual,,TRUE
Edward Norton,Birdman,Cast In A Motion Picture,2014,21st Annual,,TRUE
Emma Stone,Birdman,Cast In A Motion Picture,2014,21st Annual,,TRUE
Michael Keaton,Birdman,Cast In A Motion Picture,2014,21st Annual,,TRUE
Naomi Watts,Birdman,Cast In A Motion Picture,2014,21st Annual,,TRUE
Zach Galifianakis,Birdman,Cast In A Motion Picture,2014,21st Annual,,TRUE
,Boyhood,Cast In A Motion Picture,2014,21st Annual,,FALSE
Ellar Coltrane,Boyhood,Cast In A Motion Picture,2014,21st Annual,,FALSE
Ethan Hawke,Boyhood,Cast In A Motion Picture,2014,21st Annual,,FALSE
Lorelei Linklater,Boyhood,Cast In A Motion Picture,2014,21st Annual,,FALSE
Patricia Arquette,Boyhood,Cast In A Motion Picture,2014,21st Annual,,FALSE
,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Adrien Brody,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Bill Murray,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Edward Norton,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
F. Murray Abraham,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Harvey Keitel,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Jason Schwartzman,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Jeff Goldblum,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Jude Law,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Lea Seydoux,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Mathieu Amalric,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Owen Wilson,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Ralph Fiennes,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Saoirse Ronan,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Tilda Swinton,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Tom Wilkinson,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Tony Revolori,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
Willem Dafoe,The Grand Budapest Hotel,Cast In A Motion Picture,2014,21st Annual,,FALSE
,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
Allen Leech,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
Benedict Cumberbatch,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
Charles Dance,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
Keira Knightley,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
Mark Strong,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
Matthew Beard,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
Matthew Goode,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
Rory Kinnear,The Imitation Game,Cast In A Motion Picture,2014,21st Annual,,FALSE
,The Theory Of Everything,Cast In A Motion Picture,2014,21st Annual,,FALSE
Charlie Cox,The Theory Of Everything,Cast In A Motion Picture,2014,21st Annual,,FALSE
David Thewlis,The Theory Of Everything,Cast In A Motion Picture,2014,21st Annual,,FALSE
Eddie Redmayne,The Theory Of Everything,Cast In A Motion Picture,2014,21st Annual,,FALSE
Emily Watson,The Theory Of Everything,Cast In A Motion Picture,2014,21st Annual,,FALSE
Felicity Jones,The Theory Of Everything,Cast In A Motion Picture,2014,21st Annual,,FALSE
Simon Mcburney,The Theory Of Everything,Cast In A Motion Picture,2014,21st Annual,,FALSE
,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Andre Braugher,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Andy Samberg,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Chelsea Peretti,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Dirk Blocker,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Joe Lo Truglio,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Joel Mckinnon Miller,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Melissa Fumero,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Stephanie Beatriz,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Terry Crews,Brooklyn Nine-Nine,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Ariel Winter,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Aubrey Anderson Emmons,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Ed O'neill,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Eric Stonestreet,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Jesse Tyler Ferguson,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Julie Bowen,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Nolan Gould,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Rico Rodriguez,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Sarah Hyland,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Sofia Vergara,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Ty Burrell,Modern Family,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Abigail Savage,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Adrienne C. Moore,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Alysia Reiner,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Annie Golden,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Barbara Rosenblat,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Beth Fowler,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Catherine Curtin,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Constance Shulman,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Dale Soules,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Danielle Brooks,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Dascha Polanco,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Diane Guerrero,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Elizabeth Rodriguez,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Emma Myles,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Germar Terrell Gardner,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Jackie Cruz,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Jason Biggs,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Jessica Pimentel,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Joel Marsh Garland,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Judith Roberts,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Julie Lake,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Kate Mulgrew,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Kimiko Glenn,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Lauren Lapkus,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Laverne Cox,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Lea Delaria,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Lin Tucci,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Lorraine Toussaint,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Matt Mcgorry,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Michael J. Harney,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Natasha Lyonne,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Nick Sandow,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Samira Wiley,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Selenis Leyva,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Taryn Manning,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Taylor Schilling,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Uzo Aduba,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Vicky Jeudy,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Yael Stone,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
Yvette Freeman,Orange Is The New Black,Ensemble In A Comedy Series,2014,21st Annual,,TRUE
,The Big Bang Theory,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Jim Parsons,The Big Bang Theory,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Johnny Galecki,The Big Bang Theory,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Kaley Cuoco-Sweeting,The Big Bang Theory,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Kunal Nayyar,The Big Bang Theory,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Mayim Bialik,The Big Bang Theory,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Melissa Rauch,The Big Bang Theory,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Simon Helberg,The Big Bang Theory,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Anna Chlumsky,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Gary Cole,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Julia Louis-Dreyfus,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Kevin Dunn,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Matt Walsh,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Reid Scott,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Sufe Bradshaw,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Timothy Simons,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
Tony Hale,Veep,Ensemble In A Comedy Series,2014,21st Annual,,FALSE
,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
Domenick Lombardozzi,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
John Ellison Conlee,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
Louis Cancelmi,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
Michael Countryman,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
Nicholas Calhoun,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
Paul Calderon,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
Stephen Graham,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
Steve Buscemi,Boardwalk Empire,Ensemble In A Drama Series,2014,21st Annual,,FALSE
,Downton Abbey,Ensemble In A Drama Series,2014,21st Annual,,TRUE
Allen Leech,Downton Abbey,Ensemble In A Drama Series,2014,21st Annual,,TRUE
