Year,Category,Nominee,Film,Concordance,Won
2017,First-Time Feature Film,William Oldroyd,Lady Macbeth,Directing,FALSE
2017,First-Time Feature Film,Taylor Sheridan,Wind River,Directing,FALSE
2017,First-Time Feature Film,Aaron Sorkin,Molly's Game,Directing,FALSE
2017,Feature Film,Guillermo del Toro,The Shape of Water,Directing,TRUE
2017,Feature Film,Greta Gerwig,Lady Bird,Directing,FALSE
2017,Feature Film,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",Directing,FALSE
2017,Feature Film,Christopher Nolan,Dunkirk,Directing,FALSE
2017,Feature Film,Jordan Peele,Get Out,Directing,FALSE
2017,Documentaries,Matthew Heineman,City of Ghosts,Directing,TRUE
2017,Documentaries,Ken Burns,The Vietnam War,Directing,FALSE
2017,Documentaries,Lynn Novick,The Vietnam War,Directing,FALSE
2017,Documentaries,Bryan Fogel,Icarus,Directing,FALSE
2017,Documentaries,Steve James,Abacus: Small Enough to Jail,Directing,FALSE
2017,Documentaries,Errol Morris,Wormwood,Directing,FALSE
2016,First-Time Feature Film,Garth Davis,Lion,Directing,TRUE
2016,First-Time Feature Film,Kelly Fremon Craig,The Edge of Seventeen,Directing,FALSE
2016,First-Time Feature Film,Tim Miller,Deadpool,Directing,FALSE
2016,First-Time Feature Film,Nate Parker,The Birth of a Nation,Directing,FALSE
2016,First-Time Feature Film,Dan Trachtenberg,10 Cloverfield Lane,Directing,FALSE
2016,Feature Film,Damien Chazelle,La La Land,Directing,TRUE
2016,Feature Film,Garth Davis,Lion,Directing,FALSE
2016,Feature Film,Barry Jenkins,Moonlight,Directing,FALSE
2016,Feature Film,Kenneth Lonergan,Manchester by the Sea,Directing,FALSE
2016,Feature Film,Denis Villeneuve,Arrival,Directing,FALSE
2016,Documentaries,Ezra Edelman,O.J.: Made in America,Directing,TRUE
2016,Documentaries,Otto Bell,The Eagle Huntress,Directing,FALSE
2016,Documentaries,Josh Kriegman,Weiner,Directing,FALSE
2016,Documentaries,Elyse Steinberg,Weiner,Directing,FALSE
2016,Documentaries,Raoul Peck,I Am Not Your Negro,Directing,FALSE
2016,Documentaries,Roger Ross Williams,"Life, Animated",Directing,FALSE
2015,First-Time Feature Film,Alex Garland,Ex Machina,Directing,TRUE
2015,First-Time Feature Film,Fernando Coimbra,A Wolf at the Door,Directing,FALSE
2015,First-Time Feature Film,Joel Edgerton,The Gift,Directing,FALSE
